Title,Caption,Sentiment,Emotion,Desire,Inference Sequence
Portrait of young family of sofa at home,Portrait of young family of sofa at home,positive,happiness,family,D-S-E
Portraits,Sad boy,negative,sad,none,S-E-D
Woman jealous of her friend and her boyfriend is angry,Woman jealous of her friend and her boyfriend is angry,negative,sad,romance,S-E-D
Family fishing in lake,Family fishing in lake,neutral,neutral,family,D-S-E
Portrait of young woman with smartphone freaking out,Portrait of young woman with smartphone freaking out,positive,happiness,none,E-S-D
Disheveled young woman laying in bed holding tissue and tissue box,Disheveled young woman laying in bed holding tissue and tissue box,neutral,neutral,none,S-E-D
Smiling father and baby girl using laptop on table at home,Smiling father and baby girl using laptop on table at home,positive,happiness,family,D-S-E
Family Walking Dog In City of Tacoma,"Cute young African American family enjoys relaxation time in the city of Tacoma, Washington. They take their pet poodle for a walk.",neutral,neutral,none,S-E-D
Portrait of student lying on bed with laptop and book learning,Portrait of student lying on bed with laptop and book learning,neutral,neutral,none,S-E-D
sad woman looking couple kissing,sad woman looking couple kissing,negative,sad,romance,D-S-E
Headshot of a Young Adult,Headshot of a young man looking at the camera and smiling.,positive,happiness,none,S-E-D
Man Driving with Road Rage,Man Driving with Road Rage,negative,anger,none,E-D-S
Portrait of happy woman with bicycle in the city,Portrait of happy woman with bicycle in the city,positive,happiness,none,S-E-D
Junk food!,Girl holding hamburger and expressing dislike. Isolated on white.,negative,disgust,none,D-E-S
Boy admiring fish models behind glass,Boy admiring fish models behind glass,positive,happiness,curiosity,D-S-E
Latinx pre-adolescent child cheerfully photographing plants in his garden with smartphone,Latinx pre-adolescent child cheerfully photographing plants in his garden with a smartphone,positive,happiness,curiosity,D-S-E
Year old boy with his mum at home,Year old boy with his mum at home,neutral,neutral,family,D-S-E
Mature couple walking on the beach at sunset or sunrise.,"Mature couple walking on the beach at sunset or sunrise. They are having fun, laughing and smiling. The man has grey hair. Ocean in the background. Back lit with lens flare.",neutral,neutral,none,S-E-D
Afro Woman Celebrating,When hard work becomes success,positive,happiness,none,E-S-D
People at a nightclub.,People at a nightclub.,negative,sad,romance,D-E-S
Close-up shot of a mother and daughter watching a scary movie on the tablet,Close-up shot of a mother and daughter watching a scary movie on the tablet They are sitting on the sofa with their faces covered with a blanket. Lifestyle Concept,negative,fear,curiosity,S-E-D
Daughter dancing with father at home,Little girl dancing with her father in the living room at home. Man teaching to dance his daughter.,neutral,neutral,family,D-S-E
Embraced senior couple enjoying in autumn day on a field.,Happy mature couple enjoying while spending an autumn day on the hill. Focus is on man.,positive,happiness,romance,D-S-E
Happy businessman sitting in office lobby,Full length portrait of happy businessman sitting with hands clasped in office lobby,positive,happiness,none,S-D-E
Elderly man sitting on bed looking serious,Elderly man sitting on bed looking serious - Indoors,negative,sad,none,S-E-D
Gay couple at home using internet and laptop to chat with friends,Gay couple at home in penthouse,positive,happiness,romance,D-S-E
Worried young businesswoman at corridor office,Worried young businesswoman at corridor office,negative,sad,none,S-E-D
Frustrated couple,Very sad woman suffers and struggles because of infidelity.,negative,sad,romance,S-E-D
Man with sunglasses leaning out the window of a car in motion,Man with sunglasses leaning out the window of a car in motion,positive,happiness,none,S-E-D
Am always happy!,Portrait of a young and cheerful japanese man.,positive,happiness,none,S-E-D
Senior couple taking selfies by the campfire,Couple of senior women are taking cheerful selfies together by the campfire. Shot on a sunny winter day in Sweden.,positive,happiness,social-contact,D-S-E
Child stares in disgust at piece of lettuce,Child stares in disgust at piece of lettuce,negative,disgust,none,S-E-D
Friends are jumping into the pool,Friends with inflatable rings jumping in the swimming pool,neutral,neutral,none,D-S-E
Sunset,Grandfather and grandson walking on rocks with fishing equipment.,neutral,neutral,family,D-S-E
Gangster silhouette,Man with gun,negative,anger,vengeance,E-S-D
Waking up with a headache,Waking up with a headache,negative,anger,none,S-E-D
"Man leaning with hand on cheek, woman and child in the background","Man leaning with hand on cheek, woman and child in the background",negative,sad,romance,S-E-D
Young woman sitting on edge looks out at view,"Sunset and sea behind, Michigan",neutral,neutral,none,D-S-E
Smiling parents with two children,Smiling parents with two children on the beach,positive,happiness,family,D-S-E
Beautiful little girl reading book lying on the bed,Shot of an adorable little girl reading a book in her bedroom at home,positive,happiness,curiosity,S-E-D
Shot of a young couple ignoring each other after an argument at home,This is a tough issue to deal with,negative,sad,romance,D-E-S
Low Section Of Businesswoman Screaming Against White Background,Low Section Of Businesswoman Screaming Against White Background,negative,anger,none,S-E-D
Blond businesswoman high fiving a colleague,Blond businesswoman high fiving a colleague,positive,happiness,social-contact,S-D-E
What's headlining today?,Shot of an elderly man reading a newspaper during a relaxing day at home,neutral,neutral,none,D-S-E
Excited friends playing video games,Gamers playing video games together from home,positive,happiness,social-contact,S-E-D
"Woman juggling apples in the office, sitting with feet on desk","Woman juggling apples in the office, sitting with feet on desk",neutral,neutral,none,S-E-D
Smiling and cheerful schoolgirls reading a book together at school,Happy female elementary age students in school uniforms are sitting at a desk in the school library and reading a book together. A Filipino elementary age girl sits with an African American classmate and reads a book together in the school library.,positive,happiness,curiosity,D-S-E
Woman Fly-Fishing,"Woman fly-fishing in the Blur River in Colorado. The river is home for Kokanee Salmon, a freshwater variety, and Rainbow Trout. This image was taken while wading in the river behind the woman.",neutral,neutral,none,S-E-D
Hawaiian woman doing yoga pose inside in morning.,Hawaiian woman doing yoga pose inside in morning.,neutral,neutral,none,S-E-D
"Man fly-fishing on Elk River, BC, Canada.","Man fly-fishing on Elk River, BC, Canada.",neutral,neutral,none,S-E-D
Caucasian woman sleeping on pillow,Caucasian woman sleeping on pillow,neutral,neutral,none,D-S-E
"Prince Charles, Prince of Wales and Diana, Princess of Wales, wearing a wedding dress designed by David and Elizabeth Emanuel and the Spencer family Tiara, ride in an open carriage, from St. Paul's Cathedral to Buckingham Palace, following their wedding on July 29, 1981 in London, England...","Prince Charles, Prince of Wales and Diana, Princess of Wales, wearing a wedding dress designed by David and Elizabeth Emanuel and the Spencer family Tiara, ride in an open carriage, from St. Paul's Cathedral to Buckingham Palace, following their wedding on July 29, 1981 in London, England.",positive,happiness,romance,D-E-S
Can I have the honor of loving you forever?,Man on one knee proposing to his girlfriend at the beach,positive,happiness,romance,D-E-S
"Father and son fishing, boy holding worm","Father and son fishing, boy holding worm",negative,disgust,none,D-S-E
Portrait of woman sleeping in bed by daylight,Portrait of woman sleeping in bed by daylight,neutral,neutral,none,S-E-D
Family in the city,Close up of a young happy family having a walk in the city,positive,happiness,family,S-E-D
Portrait of woman dancing,Portrait of woman dancing in white background,positive,happiness,none,S-E-D
Depressed Woman.,Depressed Woman.,negative,sad,tranquility,S-E-D
Woman contemplative and withdrawn after disagreement with husband,Woman contemplative and withdrawn after disagreement with husband,negative,sad,romance,S-E-D
Baby Holding Keys Of The New Family's House,Portrait of a family with baby holding keys of the new family's house.,neutral,neutral,family,D-S-E
Traveling Boy and his Dog,"Young boy and his French Bulldog are ready to travel the world. They have put their suitcases on skateboards and are wearing flight goggles, ready to fly to new places and heights. Image taken in Utah, USA.",positive,happiness,none,S-E-D
Mature man sitting on arm chair and reading a book,Indoor shot of mature man sitting on arm chair and reading a book at home,neutral,neutral,none,S-E-D
Pregnant Woman Making Disgust Face While Looking At Cigarette,Pregnant Woman Making Disgust Face While Looking At Cigarette,negative,disgust,none,S-E-D
Still a book worm to this day,Young man with a short beard relaxing and reading a book on the couch in his living room,neutral,neutral,none,D-S-E
The only thing we do is succeed,Studio portrait of a diverse group of businesspeople smiling while standing against a grey background,positive,happiness,social-contact,D-S-E
Dog Walking,Man and his dog walk along a beach on the Oregon Coast.,neutral,neutral,none,S-E-D
Motherly tenderness,"Photo of worried mother taking temperature of her little son who is lying in bed with fever. Mature brown hair mother checking the temperature of her ill 11 years old boy with thermometer on a couch in the living room at home, calling doctor. Sick boy with thermometer laying in bed and mother hand taking temperature. Mother checking temperature of her sick son who has thermometer. Sick child with fever and illness in bed. Mature mother in denim shirt talking on the smartphone with an ambulance worker",neutral,neutral,family,D-S-E
"Girl, 14 watching scary movie",Girl watching scary movie,negative,fear,curiosity,S-E-D
Smiling woman sitting on arm chair in loft looking through window,Smiling woman sitting on arm chair in loft looking through window,neutral,neutral,none,D-S-E
Caucasian father and son tying fishing lures at campsite,Caucasian father and son tying fishing lures at campsite,neutral,neutral,none,S-E-D
Here comes our happily ever after,Shot of a happy senior couple going for a relaxing walk in the park,positive,happiness,romance,D-S-E
Good music finds it's way to your heart,Shot of a young woman using a smartphone and headphones on the sofa at home,neutral,neutral,none,S-E-D
Woman social networking in bed,Woman social networking in bedroom,negative,sad,romance,D-S-E
"Utah, Lehi, girl disgusted with broccoli","Utah, Lehi, girl disgusted with broccoli",negative,disgust,none,E-D-S
Two happy young men high fiving in workshop,Two happy young men high fiving in workshop,positive,happiness,social-contact,D-S-E
Girl showing her sister a butterfly,Butterfly resting on a girls finger while another little girl uses a magnifying glass to look at it.,positive,happiness,curiosity,S-E-D
Man in home lockdown at pandemic crisis,"Sad, lonely man in home lockdown at pandemic crisis standing by the window and looking outside. Coronavirus / Covid-19 pandemic.",negative,fear,curiosity,D-S-E
Father and daughter wearing robot costumes watching television,Father and daughter wearing robot costumes watching television,positive,happiness,family,D-S-E
Mother And Son Sleeping On Bed At Home,Mother And Son Sleeping On Bed At Home,neutral,neutral,family,D-S-E
"Sou'wester clad George Formby peers out of an engine room in a film which also stars Phyllis Calvert, Garry Marsh, Romney Brent, Bernard Lee, Coral Browne.The film is a spy comedy 'Let George Do It'. Itle: Let George Do It Studio: Ealing Director: Marcel Varnel..",A fearful man looking outside behind a door,negative,fear,curiosity,D-S-E
Woman with mask looking out of window,Woman with mask looking out of window,negative,sad,none,E-D-S
"Group of men wearing blue shirts, power walking","Group of multiracial men walking, marching or power walking on a pedestrian walkway, all in the same direction. They are in pairs, talking, or walking alone, all wearing blue shirts, so they are part of a team.",neutral,neutral,none,D-S-E
She needs her beauty rest,Cropped shot of an attractive young woman wearing a sleep mask while lying in bed,neutral,neutral,none,S-E-D
Happy family with a little girl lying on the floor,Fun portrait of two parents and a small girl,positive,happiness,family,E-S-D
"Young woman looks, wide eyed, through venetian blinds","Young woman sees something awful as she looks through venetian blinds, wide eyed.",negative,fear,curiosity,S-E-D
Teenage couple with their backs to each other,Teenage couple sitting on the bench.They are looking away and are not interested in each other..,negative,sad,romance,D-E-S
"Japanese woman laughing, portrait","Japanese woman laughing, portrait",positive,happiness,none,S-E-D
Close up of a bride and groom,Close up of a bride and groom,positive,happiness,romance,D-S-E
Communicating every detail,Cropped shot of a group of business colleagues meeting in the boardroom,neutral,neutral,none,S-E-D
Envy in France - The chemistry of our emotions,Envy in France - The chemistry of our emotions.,negative,sad,romance,D-E-S
Beautiful woman relaxing in hot tub at health spa,Beautiful woman and young couple relaxing in hot tub at health spa.,negative,sad,romance,D-E-S
Business meeting,Cheerful business people laughing in office,positive,happiness,social-contact,S-E-D
Two Girls Racing on a Skateboard,"Two young girls are racing on a skateboard. One girl is pushing the other and they are going really fast on a rural road. They are young adventurers wearing helmets and flight goggles and are ready to beat all the boys in the race. Image taken in Utah, USA.",positive,happiness,social-contact,D-S-E
Angry man behind the wheel demonstrating road rage,Side profile angry hipster man driver,negative,anger,none,S-E-D
Sulking man sitting on sofa whilst girlfriend reads text message,Sulking man sitting on sofa whilst girlfriend reads text message,negative,sad,romance,D-E-S
People at a party,Group of teenagers having fun at nightclub,positive,happiness,social-contact,D-S-E
Father with baby daughter using laptop at home.,Father with baby daughter using laptop at home.,neutral,neutral,family,D-S-E
Teen Problems,Sad girl standing alone outdoors.,negative,sad,tranquility,E-D-S
"Digital Detox in Garmisch-Partenkirchen, Germany","Young woman enjoying nature in the mountains of Gran Canaria, Spain",neutral,neutral,none,S-E-D
Best tutor,Father and daughter having fun,positive,happiness,family,E-S-D
Side view of young woman wearing sports clothing in mid air striding stance,Side view of young woman wearing sports clothing in mid air striding stance,neutral,neutral,none,S-E-D
Men arguing on park bench,Men arguing on park bench,negative,anger,none,S-D-E
Senior Woman Walks Her Dog In Home Neighborhood,Cheerful Korean woman in her 60’s takes her pet dog for a walk. A time of rest and relaxation with a canine friend.,neutral,neutral,none,S-E-D
Mother and daughter playing piano,Mother and daughter playing piano,positive,happiness,family,D-S-E
"More than a proposal, it's a life long promise",Cropped shot of a woman wearing an engagement after getting proposed to,positive,happiness,romance,S-D-E
Redheaded woman enjoying fresh air at the beach,Redheaded woman enjoying fresh air at the beach,positive,happiness,none,S-E-D
Mother teaching her son how to catch a fish,Mother teaching her son how to catch a fish,neutral,neutral,family,D-S-E
Portrait of a British late 70's women looking sad,Studio portrait of a British late 70's women with a sad expression looking directly at the camera.,negative,sad,none,S-E-D
Look what I've caught!,Two little girls using fishing nets to look for wildlife in a pond.,positive,happiness,curiosity,D-S-E
School children exploring nature,School children exploring nature,positive,happiness,curiosity,D-S-E
Two healthcare workers hug in celebration of a successful surgery procedure,Two doctors hug in celebration of a successful surgery procedure,positive,happiness,social-contact,S-E-D
Laughing senior couple sitting together on the couch in the living room,Laughing senior couple sitting together on the couch in the living room,positive,happiness,romance,D-S-E
Disloyal young woman looking another man and her angry boyfriend looking at her on the street,Disloyal young woman looking another handsome man and her angry boyfriend looking at her on the street,negative,sad,romance,D-E-S
Hispanic girl frowning at salad,Hispanic girl frowning at salad,negative,disgust,none,D-S-E
Kids running in nature.,Happy children running on a path in forest clearing. Sunny spring evening. Sun is shining beautifully,positive,happiness,social-contact,S-E-D
Father playing with Toddler boy,Father playing with Toddler boy,positive,happiness,family,D-S-E
Relaxed woman reading a book in her bed.,Young woman lying in bed and reading a book.,neutral,neutral,none,S-E-D
Couple running scare,Couple running thru an ominous street tunnel in small town of northern italy as someone bad was chasing them.,negative,fear,tranquility,D-S-E
Are you kidding me??,Shot of a young businesswoman using a mobile phone and looking angry in a modern office,negative,anger,none,S-D-E
Young woman sitting by a beach at sunset in winter,Young woman sitting by a beach at sunset in winter,negative,sad,none,S-E-D
Businesswoman fighting businessman in desert at dusk,Businesswoman fighting businessman in desert at dusk,negative,anger,vengeance,S-D-E
Smiling young couple using digital tablet at home,Smiling girlfriend and boyfriend using digital tablet. Young couple is surfing internet while sitting on sofa. They are wearing casuals at home.,positive,happiness,romance,S-E-D
Three mature women power walking together on waterfront,"Three multi-ethnic women exercising together, power walking side by side on a city waterfront. The African-American woman with black hair is in her 50s. Her friends are senior women in their 60s.",neutral,neutral,none,D-S-E
"Prince William, Duke of Cambridge and Catherine, Duchess of Cambridge smile following their marriage at Westminster Abbey on April 29, 2011 in London, England. The marriage of the second in line to the British throne was led by the Archbishop of Canterbury and was attended by 1900 guests, including foreign Royal family members and heads of state. Thousands of well-wishers from around the world have also flocked to London to..","Prince William, Duke of Cambridge and Catherine, Duchess of Cambridge smile following their marriage at Westminster Abbey on April 29, 2011 in London, England. The marriage of the second in line to the British throne was led by the Archbishop of Canterbury and was attended by 1900 guests, including foreign Royal family members and heads of state. Thousands of well-wishers from around the world have also flocked to London to witness the spectacle and pageantry of the Royal Wedding.",positive,happiness,romance,D-S-E
Mother putting mask on son's face,Shot of a woman putting mask on her son,neutral,neutral,family,D-S-E
"Young woman clenches fists and yells, either encouraging or furious","""Half-length portrait of a pretty young Asian woman clenching her fists and grimacing as she yells, either in pain, or temper, or cheering someone on. Isolated on white.""",negative,anger,none,D-S-E
Bride and groom dancing during their wedding party,Bride and groom dancing during their wedding party,positive,happiness,romance,D-S-E
Businesswoman emptying wastebasket over her colleague,Businesswoman emptying wastebasket over her colleague,negative,anger,vengeance,D-E-S
Lonely woman at home,Sad mid adult Caucasian woman looks through the window while sitting on a sofa in her home.,negative,sad,none,S-E-D
Women Fighting in Nightclub,Women Fighting in Nightclub,negative,anger,vengeance,D-S-E
Young man is proposing to his girlfriend,Young man is proposing to his girlfriend,positive,happiness,romance,D-E-S
Portrait of depressed/stressed woman sitting alone on the bed in the bedroom.,"Conceptual of bad condition of broken hearted, sadness, loneliness woman.",negative,sad,tranquility,D-S-E
Nurse Speaking to a Mother and Child,Little girl is at the doctors office for a check up. A nurse is sitting with them and talking to the mother.,positive,happiness,family,D-S-E
Man about to touch girl's breast,Man about to touch girl's breast,negative,disgust,none,E-S-D
Angry African man shouting,Angry African man shouting,negative,anger,none,S-E-D
"Young man proposing to girlfriend on beach, Torrey Pines, San Diego, California, USA","Young man proposing to girlfriend on beach, Torrey Pines, San Diego, California, USA",positive,happiness,romance,D-E-S
What do we have here,Kid playing with magnifying glass in nature,positive,happiness,curiosity,D-S-E
"Cute mixed race preschool girl laughing on beach at sunset, Okinawa, Japan","Adorable Eurasian 5 year old girl laughing on beach at sunset, Kerama Islands National Park, Okinawa, Japan",positive,happiness,family,D-S-E
Father helping son riding with a balance bicycle at home,Father helping son riding with a balance bicycle at home,neutral,neutral,family,D-S-E
Friends are there when you need them most,Cropped shot of a group of friends holding hands,neutral,neutral,none,S-E-D
"France, Valensole, back view of woman walking between blossoms of lavender field at sunset","France, Valensole, back view of woman walking between blossoms of lavender field at sunset",neutral,neutral,none,S-E-D
Happy woman having breakfast at dining table,Happy woman having breakfast at dining table,positive,happiness,none,S-E-D
Happy young woman listening music with headphones and cell phone,Happy young woman listening music with headphones and cell phone,positive,happiness,none,S-E-D
Mature woman at home,Mature woman at home,neutral,neutral,none,D-S-E
Stressed and frustrated businesswoman working till late at work,Stressed and frustrated businesswoman working till late at work,negative,sad,none,S-E-D
Worried elderly lady having pain in chest,"Afraid senior woman sitting in an armchair covered with blanket, having pain in the chest.",negative,fear,none,E-D-S
Friends playing in waves on beach,Friends running into waves on beach,positive,happiness,social-contact,D-S-E
Man working at computer with sad woman in background,Man working at computer with sad woman in background,negative,sad,romance,D-S-E
Smiling young man in a cafe with laptop and cup of coffee,Smiling young man in a cafe with laptop and cup of coffee,neutral,neutral,none,S-E-D
"Summer, the official happy season",Shot of a happy young woman enjoying a summer’s day at the beach,positive,happiness,none,S-E-D
Young woman sitting at table in a cafe with laptop and drumsticks,Young woman sitting at table in a cafe with laptop and drumsticks,positive,happiness,none,S-E-D
Portrait of a young handsome African man.,Portrait of a young handsome African man. He is smiling and looking at the camera,positive,happiness,none,S-E-D
"Germany, Berlin, Young woman in hammock, smiling","Germany, Berlin, Young woman in hammock, smiling",neutral,neutral,none,D-S-E
Young Woman Taking A Breath Of Fresh Air In Nature,"Side portrait of young Asian woman with eyes closed inhaling fresh air, against sunset in the sky.",neutral,neutral,none,D-S-E
Boy who smiles loud,Two year old boy.,positive,happiness,none,E-S-D
Couple Fighting in Office,Couple Fighting in Office,negative,anger,vengeance,E-S-D
Mid adult woman passes senior woman during power walk,Cheerful mid adult woman passes a senior woman on a footpath at the park during a power walk.,neutral,neutral,none,D-S-E
Asian girl reading book secretly,Asian girl reading book secretly,positive,happiness,curiosity,D-S-E
Extremely expressive guy in his late 30s: disgusted,": disgusted. Brown haired guy with a beard, in a plaid shirt with an underneath white t-shirt in a white background studio shot.",negative,disgust,none,E-D-S
Friends tasting wine together,Friends tasting wine together,positive,happiness,curiosity,D-S-E
Little girl dislikes her breakfast,"Little girl sitting for breakfast, looking in to her bowl and dislikes what she sees.",negative,disgust,none,D-S-E
Woman in quarantine looking through the window,Woman in quarantine wearing a mask and looking through the window. Pandemic of Coronavirus / Covid-19.,negative,fear,curiosity,D-E-S
Father with kids running in beautiful winter forest,Father with three kids running in beautiful winter forest. The little girl is aged 10 and her brothers are aged 7. Cold winter day,neutral,neutral,family,D-S-E
Smiling group of people walking together outdoors and looking at fitness tracker,Smiling group of people walking together outdoors and looking at fitness tracker,neutral,neutral,none,S-E-D
Coffee and a quiet moment,Shot of a mature woman relaxing on the sofa at home with a cup of coffee,neutral,neutral,none,S-E-D
Morning sleep.,Teenage girl sleeping in the morning.,neutral,neutral,none,S-E-D
Smiling father and son taking selfie with smart phone while camping during rainstorm,Smiling father and son taking selfie with smart phone while camping during rainstorm,positive,happiness,family,E-S-D
Senior woman walking up the stairs with flowers,Senior woman walking up the stairs with flowers. Female with husband behind walking up the staircase holding a flower bouquet.,positive,happiness,none,S-E-D
"Portrait of a confident, successful, happy mature woman",Close-up of mature woman laughing and smiling against a blue background.,positive,happiness,none,S-E-D
Quality time of family South east Asian family father teaching cute daughter play toys at home together,Quality time of family South east Asian family father teaching cute daughter play toys at home together,positive,happiness,curiosity,D-S-E
Businesswoman frustrated by bad new at office desk,Depressed female professional in panic holding head in hands in front of laptop. Businesswoman frustrated by bad new at office desk.,negative,sad,tranquility,S-E-D
African businesswoman and her Caucasian coworkers using digital tablet and walking in the office,African businesswoman and her Caucasian coworkers using digital tablet and walking in the office,positive,happiness,social-contact,D-S-E
Portrait of angry senior woman in front of white background,Portrait of angry senior woman in front of white background,negative,anger,none,E-S-D
Mother carrying daughter with binoculars on beach,Mother carrying daughter with binoculars on beach,positive,happiness,curiosity,D-S-E
Women exercising in park,"Multi-ethnic women exercising in park, power walking.",neutral,neutral,none,D-S-E
Two happy women talking through the window,Two happy women talking through the window,positive,happiness,social-contact,S-E-D
Young man and couple,Young man and couple,negative,sad,romance,D-E-S
Depressed businessman,Caucasian casual businessman is working on his desk.,negative,sad,none,E-S-D
Woman writing in a journal,Woman writing in a journal,neutral,neutral,none,S-E-D
Pineapple Float,An aerial view of teenage girl relaxing in the swimming pool on a pineapple floatie.,neutral,neutral,none,D-S-E
School boy sitting alone a poor child is bullied at school,School boy sitting alone a poor child is bullied at school,negative,sad,tranquility,S-E-D
Wireless entertainment for a lazy day at home,Shot of a young couple using a laptop while relaxing on the sofa at home,positive,happiness,romance,D-S-E
Teenage boy bracing himself for injection,Teenage boy bracing himself for injection,negative,fear,none,E-S-D
Senior Woman in Fitness Class in a Plank Pose Smiling stock photo,"An older Caucasian woman is seen holding a plank pose while participating in a co-ed, multi-ethnic, fitness class. She is smiling and appearing to enjoy the class.",positive,happiness,none,E-S-D
Smiling parents are embracing sons at home,Photo of smiling family relaxing on sofa. Happy parents are embracing sons. They are wearing casuals at home.,positive,happiness,family,D-S-E
Happy man and woman with laptop fist bumping in modern office,Happy man and woman with laptop fist bumping in modern office,positive,happiness,romance,D-S-E
Happy teenage boy lying on a bench using cell phone,Happy teenage boy lying on a bench using cell phone,positive,happiness,none,S-E-D
"Beautiful, wide eyed, terrified young woman, hands to face","Beautiful young woman looks to the side, wide eyed and terrified, her hands held up to her face. Isolated on white.",negative,fear,none,S-E-D
Have to use new technology for learning,Kid learning for exam on digital tablet and laptop,neutral,neutral,none,S-E-D
Woman laughing in car with open window,Good friends on a road trip in big old car,positive,happiness,none,S-E-D
You Get Me,"Man Enjoying Autumn Day Spent With Pet, Cute Beagle Dog",neutral,neutral,none,S-E-D
"Young Asian woman in headphones, lying on grass, relaxing and listening to good music","Taiwan, Relaxation, Women, Headphones, Music, One Woman Only",positive,happiness,none,S-E-D
"Businessman holding his nose, portrait","Businessman holding his nose, portrait",negative,disgust,none,E-S-D
Asian grandmother and granddaughter looking away while having a relaxing time reading book at home,Asian grandmother and granddaughter looking away while having a relaxing time reading book at home,neutral,neutral,family,D-S-E
Father multi-tasking with young son at kitchen table,Father multi-tasking with young son at kitchen table,neutral,neutral,family,D-S-E
Portrait of surprised young woman,Portrait of surprised young woman,negative,fear,none,S-D-E
Side view of mother and daughter with picture book at home,Side view of mother and daughter with picture book at home,neutral,neutral,family,D-S-E
Father with son fishing on jetty,Father with son fishing on jetty,neutral,neutral,family,D-S-E
Young women on a road trip with cabriolet,Young women on a road trip with cabriolet,positive,happiness,social-contact,D-S-E
Overhead view of young man lying asleep in bed,Overhead view of young man lying asleep in bed,neutral,neutral,none,S-E-D
Explaining to a Child,Father holds his daughters hand and explains something as child listens.,neutral,neutral,family,D-S-E
Portrait carefree young woman in striped dress dancing against turquoise background,Portrait carefree young woman in striped dress dancing against turquoise background,positive,happiness,none,S-E-D
Pictures of Real Zombie Grabbing Screaming Victim,Zombie Grabbing Screaming Victim. This stock image has a horizontal composition.,negative,fear,tranquility,E-S-D
Mother and daughter watering potted plant at community garden,Mother and daughter watering potted plant at community garden,positive,happiness,family,D-S-E
Father and son riding bicycles,Father and son riding their mountain bikes on a sunny day outdoors. Little boy has won a race and has a proud look on his face. Bright sun and trees partially visible in the background.,neutral,neutral,family,D-E-S
Mature couple playing on the beach at sunset or sunrise.,"Mature couple playing on the beach at sunset or sunrise. They are having fun, laughing and smiling. The man has grey hair. He is giving his wife a piggyback. Ocean in the background. Back lit with lens flare.",positive,happiness,romance,D-S-E
Teach your child to love and respect animals,Shot of a father taking his little daughter on an outing to the aquarium,positive,happiness,curiosity,D-S-E
Flipping His Hair Back,Waist-up portrait of a young mixed race man flipping his hair in front of a pink background.,positive,happiness,none,S-E-D
Girl observing nature with binoculars .Rear view,"Girl observing nature with binoculars .Rear view.She is wearing casual clothes, backpack and straw hat",positive,happiness,curiosity,D-S-E
Making new connections on your retirement walks,Seniors enjoying holidays on the beach,positive,happiness,social-contact,D-S-E
Happy young couple in bed,Happy young playful couple in bed.,positive,happiness,romance,D-E-S
Woman reading book sitting on the floor at home,Woman reading book sitting on the floor at home,neutral,neutral,none,D-E-S
Bully men having argument in bar,Side view of aggressive men about to fight having conflict in bar,negative,anger,vengeance,D-E-S
Man in lockdown looking through the window,Man in lockdown during curfew looking through the window. Pandemic of Coronavirus / Covid-19.,negative,fear,curiosity,D-S-E
Aggressive young man,Studio shot of an aggressive young man,negative,anger,none,S-E-D
Lonely preteen student in locker room,Sad preteen girl hides her head in her knees while sitting in a school hallway or locker room.,negative,sad,tranquility,S-E-D
Friends dancing at a concert.,Closeup of group of multi ethnic young adults dancing and enjoying an open air concert on a summer night. There are three girls and three guys in a candid shot against bright background light.,positive,happiness,social-contact,S-E-D
"Depression-sadness, loss of appetite","Depression-sadness, loss of appetite",negative,sad,tranquility,E-S-D
Girl entrepreneur,Portrait of a smiling young girl student in the start-up office. Standing with her glasses smiling at the camera while her colleagues are in the back of the classroom.,neutral,neutral,none,S-E-D
Young man sitting in mediation pose,Young man sitting in mediation pose,neutral,neutral,none,D-S-E
Smiling female friends against red wall,Smiling young female friends wearing turtleneck sweaters against red wall,positive,happiness,social-contact,D-E-S
Sisters cuddle in bed on white blanket with newborn baby,Sisters cuddle in bed on white blanket with newborn baby,neutral,neutral,family,D-S-E
People looking through the blinds.,People looking through the blinds.,negative,fear,curiosity,D-E-S
Little girl playing with bubbles,Little girl playing with bubbles,positive,happiness,none,S-D-E
Shocked!,Closeup of shocked woman over white background,negative,fear,none,E-S-D
Portrait of two happy young women embracing in the city,Portrait of two happy young women embracing in the city,positive,happiness,social-contact,S-E-D
Young woman sitting on window reading,"Young african american woman sitting in a window with a book and a cup. In Paris, France.",neutral,neutral,none,S-E-D
Woman with eyeglasses using laptop at home,Smiling woman with eyeglasses using laptop at home.,positive,happiness,none,E-D-S
Father shows daughter how to find video on laptop,Father takes time to help his daughter find the video she needs to be able to finish her school project.,positive,happiness,family,D-S-E
Love candy!,Carefree cute little four year old girl enjoying the new year and christmas holidays,positive,happiness,none,S-E-D
Ready to Relax,"Young woman lying down on a hammock, using her smartphone and relaxing.",neutral,neutral,none,S-E-D
Woman sitting on the edge of a cliff,"Woman sitting on Trolltunga at Odda, Hordaland county, Norway",neutral,neutral,none,S-E-D
Female business professional reading a newspaper in cafe,Mid adult businesswoman sitting inside a coffee shop and a reading newspaper. Female business professional reading a newspaper in cafe.,neutral,neutral,none,S-E-D
Angry businessman talking on his mobile phone in office.,Angry businessman talking on cell phone while reading reports in the office. Shot of a young businessman sitting on desk in modern office and holding financial report. Portrait of worried businessman working on laptop and using smart phone in the office.,negative,anger,none,E-D-S
Celebrations In Office After Successful Business Pitch By Team,"An office team are celebrating together, embracing and applauding each other after a successful business pitch.",positive,happiness,social-contact,S-E-D
Man with legs in air on bike,Man with legs in air on bike,positive,happiness,none,E-S-D
